status_id,status_name,extracted_at_utc
2,"['Open', 'Ticket is in progress']",2026-05-29T11:14:30.711541+00:00
3,"['Pending', 'Awaiting your answer']",2026-05-29T11:14:30.711541+00:00
4,"['Resolved', 'Ticket is resolved']",2026-05-29T11:14:30.711541+00:00
5,"['Closed', 'This ticket is closed']",2026-05-29T11:14:30.711541+00:00
6,"['Available', 'Ticket is waiting for technical support']",2026-05-29T11:14:30.711541+00:00
7,"['Escalation', 'Ticket is escalated']",2026-05-29T11:14:30.711541+00:00
8,"['In progress', 'Ticket is in progress']",2026-05-29T11:14:30.711541+00:00
9,"['In testing', 'Ticket is in testing']",2026-05-29T11:14:30.711541+00:00
10,"['Information needed (internal)', 'Ticket is waiting for internal info']",2026-05-29T11:14:30.711541+00:00
12,"['Investigate', 'Ticket is waiting for technical support']",2026-05-29T11:14:30.711541+00:00
14,"['Ready for hotfix', 'Ticket is ready for hotfix']",2026-05-29T11:14:30.711541+00:00
16,"['Task done', 'Ticket is in progress']",2026-05-29T11:14:30.711541+00:00
17,"['New case', 'Ticket is waiting for technical support']",2026-05-29T11:14:30.711541+00:00
19,"['Need sprint planning', 'Ticket is under review for future changes']",2026-05-29T11:14:30.711541+00:00
23,"['Linked ticket awaiting SLS', 'Ticket is waiting for technical support']",2026-05-29T11:14:30.711541+00:00
24,"['Customer responded', 'Customer Responded']",2026-05-29T11:14:30.711541+00:00
25,"['Task in backlog', 'Ticket is under review for future changes']",2026-05-29T11:14:30.711541+00:00
26,"['Uninstall', 'Ticket is in progress']",2026-05-29T11:14:30.711541+00:00
27,"['Product feedback', 'Product feedback']",2026-05-29T11:14:30.711541+00:00
9000,"['Assigned to AI Agent', 'Assigned to AI Agent']",2026-05-29T11:14:30.711541+00:00
